age,city,is_paris,months_since_inscription,language,dark_mode,font_accessibility,subscription_type,is_renewed,nb_interventions_total,nb_services_domicile,nb_services_medical,nb_services_online,nb_services_sante,nb_services_loisirs,nb_services_tourisme,nb_services_emploi,nb_services_cours,nb_orders_shop,avg_grade_given,total_spent,nb_quotes_requested,nb_quotes_accepted,next_service_type
72,Rouen,0,27,fr,0,0,annual_renewal,1,4,1,1,0,0,1,3,0,0,1,4.2,538.56,0,0,Tourisme
65,Paris 18e,1,23,fr,0,1,monthly_renewal,1,9,2,2,2,0,6,1,2,0,2,4.3,735.65,1,1,Loisirs & Sorties
67,Paris 13e,1,26,en,0,0,annual_renewal,1,13,2,3,2,1,1,1,0,1,0,4.7,1261.96,2,2,Shopping
66,Paris 11e,1,58,fr,1,1,monthly_renewal,1,19,4,5,3,1,12,1,1,1,3,3.9,1199.1,4,2,Loisirs & Sorties
86,Paris 13e,1,43,fr,0,0,monthly_renewal,1,22,11,9,1,14,1,1,1,1,2,3.7,2215.8,6,5,Santé & Bien-être
71,Marseille,0,46,fr,1,2,annual_renewal,1,17,5,4,3,1,1,1,11,1,1,3.0,2010.82,2,1,Emploi Seniors
77,Paris 17e,1,44,en,0,2,monthly_standard,0,24,12,7,2,1,1,16,1,3,4,3.9,1661.19,4,1,Tourisme
74,Bordeaux,0,38,fr,1,0,monthly_standard,0,7,1,1,1,0,0,5,0,0,0,3.7,497.88,1,0,Tourisme
69,Rouen,0,48,fr,0,0,annual_renewal,1,24,6,6,4,1,1,1,1,3,3,4.2,1599.32,5,0,Shopping
77,Paris 17e,1,4,fr,0,0,monthly_standard,0,1,0,0,0,1,0,0,0,0,0,3.7,92.75,0,0,Santé & Bien-être
74,Fontainebleau,0,24,fr,0,0,monthly_standard,0,4,0,0,0,0,0,0,0,0,5,4.2,914.7,1,0,Services à domicile
80,Paris 17e,1,17,fr,0,0,annual_standard,0,4,2,1,0,1,1,0,0,0,1,3.4,265.47,0,0,Services à domicile
77,Créteil,1,38,fr,0,0,annual_renewal,1,18,7,5,1,1,12,1,1,1,3,4.8,2524.59,6,3,Loisirs & Sorties
68,Creil,0,22,fr,1,0,annual_standard,0,8,2,2,1,0,5,3,0,0,1,4.2,1206.3,2,1,Loisirs & Sorties
79,Fontainebleau,0,19,en,0,0,annual_standard,0,6,2,2,0,0,0,0,0,0,0,4.0,602.38,2,0,Services à domicile
65,Creil,0,14,fr,0,0,annual_renewal,1,4,0,0,0,0,1,0,0,3,0,3.7,325.2,0,0,Cours & Formation
74,Paris 11e,1,58,es,1,0,monthly_standard,0,28,5,6,6,2,18,0,2,2,7,4.7,4437.54,5,0,Loisirs & Sorties
83,Paris 11e,1,44,fr,0,1,annual_renewal,1,25,12,9,2,4,1,1,1,1,1,5.0,2095.0,8,0,Services à domicile
70,Fontainebleau,0,4,fr,0,0,annual_standard,0,0,0,0,0,0,0,0,0,0,1,3.8,182.26,1,1,Loisirs & Sorties
92,Paris 17e,1,41,fr,0,2,annual_renewal,1,22,8,6,1,3,1,1,1,12,1,4.7,1991.35,4,2,Cours & Formation
81,Paris 17e,1,37,en,0,1,monthly_renewal,1,8,3,2,0,1,0,0,2,0,0,4.9,406.05,1,0,Shopping
71,Marseille,0,33,fr,0,1,monthly_renewal,1,20,4,5,3,2,1,13,1,1,3,4.4,2749.15,4,3,Tourisme
66,Paris 13e,1,46,fr,0,1,annual_renewal,1,18,5,3,4,1,1,12,1,1,1,4.3,2610.09,3,1,Tourisme
95,Montreuil,1,45,en,0,1,monthly_renewal,1,20,9,6,1,12,1,1,1,1,8,4.9,2210.76,4,2,Santé & Bien-être
87,Paris 18e,1,6,es,0,0,monthly_standard,0,2,1,0,0,1,0,0,0,0,0,4.4,109.73,0,0,Santé & Bien-être
66,Bordeaux,0,47,fr,0,1,annual_renewal,1,10,2,2,1,1,5,1,0,1,3,3.8,1234.71,3,2,Loisirs & Sorties
88,Montreuil,1,30,fr,0,0,monthly_standard,0,22,8,6,1,3,1,1,1,1,3,3.2,1893.71,4,4,Services à domicile
70,Bordeaux,0,57,fr,0,0,monthly_standard,0,13,2,2,2,1,0,8,1,1,7,3.0,2335.16,2,1,Tourisme
66,Bordeaux,0,23,fr,1,0,annual_standard,0,5,1,1,0,0,0,0,2,0,0,3.1,660.81,0,0,Services à domicile
93,Paris 11e,1,35,fr,1,2,annual_standard,0,10,3,3,1,1,0,0,0,3,1,3.8,1061.56,1,1,Services à domicile
89,Montreuil,1,37,it,0,1,monthly_standard,0,6,2,2,0,4,0,0,0,0,0,3.4,366.79,1,1,Santé & Bien-être
80,Paris 18e,1,29,fr,0,0,annual_renewal,1,9,3,2,1,1,0,0,2,5,2,3.1,745.96,2,0,Cours & Formation
92,Paris 13e,1,9,de,1,0,monthly_standard,0,2,0,0,0,0,0,0,0,0,0,4.1,141.9,1,1,Services à domicile
70,Rouen,0,17,fr,0,2,monthly_renewal,1,3,0,0,0,0,2,1,0,0,2,3.5,553.55,1,0,Loisirs & Sorties
75,Rouen,0,28,fr,1,0,monthly_renewal,1,7,3,2,0,0,7,0,0,0,1,4.2,701.11,2,2,Loisirs & Sorties
85,Paris 13e,1,22,fr,0,0,annual_renewal,1,9,4,3,0,1,0,0,0,0,3,3.9,986.06,3,3,Services à domicile
78,Lyon,0,34,es,0,0,monthly_standard,0,15,6,5,1,1,1,1,9,1,3,3.9,692.82,4,4,Emploi Seniors
90,Créteil,1,3,fr,0,0,monthly_standard,0,1,0,0,0,0,0,0,0,0,0,5.0,112.16,1,1,Services à domicile
77,Creil,0,45,fr,0,1,annual_renewal,1,6,3,1,0,0,0,4,0,2,5,3.8,1561.68,1,1,Tourisme
66,Bordeaux,0,50,fr,1,0,monthly_renewal,1,9,2,2,2,1,0,1,0,6,1,4.0,833.75,3,2,Cours & Formation
85,Créteil,1,8,fr,0,2,annual_standard,0,3,1,0,0,0,0,1,0,0,0,4.8,242.47,0,0,Services à domicile
66,Nice,0,22,fr,1,0,annual_standard,0,2,0,0,0,0,0,0,0,0,2,4.8,502.63,1,0,Services à domicile
64,Marseille,0,51,fr,0,0,annual_renewal,1,15,2,2,6,7,2,2,1,1,1,4.3,2269.7,5,3,Santé & Bien-être
70,Paris 18e,1,28,en,0,0,annual_renewal,1,11,2,3,2,0,7,1,1,0,2,4.4,1601.62,1,0,Loisirs & Sorties
88,Montreuil,1,29,fr,0,0,annual_renewal,1,17,6,6,1,11,1,1,0,1,0,4.4,1304.76,2,2,Santé & Bien-être
75,Paris 18e,1,41,de,0,0,annual_standard,0,20,8,6,2,1,13,1,2,1,3,4.3,1793.43,6,4,Loisirs & Sorties
78,Paris 18e,1,5,fr,0,0,monthly_renewal,1,4,1,1,0,0,0,3,0,1,0,3.8,122.92,1,1,Tourisme
74,Montreuil,1,10,en,0,1,monthly_renewal,1,5,1,1,0,0,0,3,2,0,3,4.5,683.17,1,1,Tourisme
70,Montreuil,1,57,en,0,0,monthly_standard,0,17,3,4,3,11,1,1,1,1,4,3.8,2016.34,3,1,Santé & Bien-être
83,Paris 17e,1,4,de,1,2,monthly_standard,0,2,0,0,0,1,0,0,0,0,0,3.9,153.89,1,1,Santé & Bien-être
74,Bordeaux,0,31,fr,0,0,annual_standard,0,3,0,0,0,1,0,2,0,0,2,4.5,619.22,1,0,Tourisme
63,Rouen,0,15,es,0,2,annual_renewal,1,3,0,0,1,0,1,0,0,0,0,4.8,250.59,1,1,Services à domicile
67,Paris 18e,1,53,es,0,0,monthly_renewal,1,14,3,3,3,1,1,0,1,1,2,3.8,1778.2,4,4,Services à domicile
75,Creil,0,27,fr,0,0,monthly_standard,0,6,3,2,0,4,0,2,0,0,3,4.4,772.12,1,1,Santé & Bien-être
61,Fontainebleau,0,8,fr,0,1,monthly_standard,0,2,0,0,0,1,1,0,0,0,1,5.0,347.74,1,1,Santé & Bien-être
93,Paris 13e,1,48,fr,0,2,monthly_renewal,1,16,5,6,1,10,1,1,0,1,1,3.3,963.86,2,1,Santé & Bien-être
65,Paris 18e,1,17,fr,0,0,annual_standard,0,4,0,0,0,2,1,0,0,0,0,3.1,428.27,0,0,Santé & Bien-être
94,Créteil,1,42,fr,0,2,annual_renewal,1,18,6,6,1,10,1,1,1,1,1,4.4,1595.73,6,5,Santé & Bien-être
62,Montreuil,1,21,fr,0,1,annual_standard,0,7,0,1,2,0,6,1,0,0,1,4.0,682.79,1,0,Loisirs & Sorties
82,Paris 18e,1,29,fr,0,0,annual_renewal,1,8,3,2,0,1,0,0,0,6,0,4.4,622.42,1,0,Cours & Formation
65,Creil,0,47,fr,1,0,annual_standard,0,10,2,2,2,6,2,1,1,0,3,4.9,1227.04,2,2,Santé & Bien-être
86,Montreuil,1,25,fr,0,0,annual_standard,0,11,4,4,1,7,0,1,1,1,0,4.5,1025.23,2,0,Santé & Bien-être
83,Paris 17e,1,47,en,0,0,monthly_renewal,1,9,3,3,0,1,2,0,0,0,1,3.8,514.88,3,2,Services à domicile
87,Paris 17e,1,22,fr,0,0,monthly_renewal,1,9,4,3,1,1,0,0,0,2,1,3.3,923.69,2,0,Services à domicile
77,Rouen,0,6,fr,1,0,monthly_renewal,1,1,0,0,0,0,1,0,0,0,0,4.0,90.04,1,0,Loisirs & Sorties
75,Paris 13e,1,56,en,1,0,monthly_renewal,1,26,9,9,2,1,0,2,2,2,1,3.3,2253.31,6,2,Shopping
60,Fontainebleau,0,20,de,1,0,annual_renewal,1,9,1,1,3,0,6,1,0,0,2,3.2,627.2,1,0,Loisirs & Sorties
73,Bordeaux,0,52,fr,0,0,annual_renewal,1,12,2,3,2,1,1,0,1,0,0,3.4,1397.27,3,0,Services à domicile
70,Lyon,0,26,en,0,0,monthly_standard,0,13,2,3,2,0,1,8,1,1,1,4.3,1008.81,3,2,Tourisme
80,Lyon,0,13,fr,1,0,annual_standard,0,0,0,0,0,0,0,0,0,0,1,4.3,150.03,1,1,Loisirs & Sorties
76,Paris 17e,1,49,fr,1,2,annual_renewal,1,22,10,7,2,1,3,1,1,1,1,4.1,2581.28,5,0,Services à domicile
67,Paris 11e,1,34,fr,1,1,annual_renewal,1,2,0,0,0,0,0,1,1,0,1,3.1,920.81,1,1,Tourisme
84,Paris 17e,1,32,fr,0,1,annual_renewal,1,15,6,4,1,2,1,1,0,1,0,3.8,878.32,4,0,Services à domicile
69,Créteil,1,20,fr,0,1,annual_renewal,1,8,1,2,1,8,0,0,0,0,2,4.1,892.24,1,1,Santé & Bien-être
88,Paris 11e,1,54,fr,0,0,annual_standard,0,29,15,10,2,4,1,1,1,1,1,3.3,1410.99,6,1,Services à domicile
66,Fontainebleau,0,40,fr,1,1,annual_renewal,1,5,1,1,0,0,5,0,0,0,2,3.8,902.37,0,0,Loisirs & Sorties
76,Fontainebleau,0,45,fr,1,0,annual_renewal,1,17,8,5,2,11,1,1,1,1,3,5.0,1510.38,2,0,Santé & Bien-être
80,Montreuil,1,33,fr,0,1,monthly_standard,0,20,10,7,1,3,1,10,1,1,6,4.7,2911.54,6,3,Tourisme
91,Paris 18e,1,44,fr,1,1,monthly_renewal,1,21,10,8,2,3,1,1,1,1,1,3.8,1443.74,4,1,Services à domicile
61,Lyon,0,5,fr,0,0,monthly_standard,0,4,0,0,1,0,3,0,0,0,0,4.5,323.49,0,0,Loisirs & Sorties
63,Creil,0,9,de,0,0,monthly_standard,0,4,0,0,1,0,1,1,0,0,2,3.5,511.09,0,0,Services à domicile
77,Nice,0,57,fr,0,1,monthly_renewal,1,14,5,3,1,1,0,9,1,1,3,4.1,1030.36,3,1,Tourisme
68,Bordeaux,0,10,it,0,0,annual_standard,0,5,1,1,1,0,0,0,0,2,1,3.5,222.13,0,0,Shopping
65,Marseille,0,5,en,0,0,monthly_standard,0,1,0,0,0,1,0,0,0,0,1,4.4,161.97,1,1,Santé & Bien-être
67,Paris 18e,1,50,fr,0,0,annual_renewal,1,12,3,3,2,1,0,1,1,0,2,4.1,1285.11,4,0,Services à domicile
65,Créteil,1,47,fr,1,0,annual_renewal,1,12,2,2,2,1,1,1,1,7,4,3.7,1284.98,2,2,Cours & Formation
61,Paris 13e,1,57,fr,1,0,annual_renewal,1,12,1,1,3,1,8,1,0,0,2,3.6,1505.51,2,1,Loisirs & Sorties
76,Paris 17e,1,1,fr,0,1,annual_standard,0,0,0,0,0,0,0,0,0,0,0,3.9,0.0,1,1,Services à domicile
69,Fontainebleau,0,13,fr,0,1,monthly_standard,0,2,0,0,0,0,0,0,0,2,0,4.2,374.04,1,1,Cours & Formation
91,Paris 17e,1,35,fr,0,0,annual_standard,0,17,8,5,1,2,9,1,1,1,4,4.1,1263.4,4,3,Loisirs & Sorties
77,Fontainebleau,0,1,es,0,2,monthly_renewal,1,0,0,0,0,0,0,0,0,0,0,4.3,0.0,0,0,Tourisme
84,Créteil,1,17,en,0,0,monthly_renewal,1,7,2,2,0,1,5,0,0,0,0,4.6,448.43,2,1,Loisirs & Sorties
92,Paris 11e,1,43,fr,0,1,monthly_standard,0,20,8,6,1,3,1,1,1,1,1,4.1,991.32,3,1,Services à domicile
73,Bordeaux,0,26,en,0,0,annual_standard,0,6,1,1,1,2,0,0,0,4,1,3.1,433.54,1,0,Cours & Formation
68,Creil,0,16,es,1,0,annual_standard,0,8,2,2,1,0,5,0,0,0,2,3.6,858.46,2,0,Loisirs & Sorties
69,Rouen,0,25,fr,1,0,monthly_renewal,1,8,2,1,1,3,5,0,0,0,2,4.5,711.47,2,0,Loisirs & Sorties
95,Créteil,1,9,it,0,1,annual_standard,0,3,1,0,0,3,0,0,0,0,0,3.1,208.69,1,1,Santé & Bien-être
85,Paris 17e,1,3,en,1,2,annual_renewal,1,3,1,0,0,0,0,0,0,1,0,3.6,236.65,1,0,Services à domicile
64,Rouen,0,49,fr,1,2,monthly_renewal,1,8,1,1,3,0,5,3,0,0,3,3.4,1593.56,1,0,Loisirs & Sorties
77,Montreuil,1,20,fr,0,0,monthly_renewal,1,3,1,0,0,3,0,0,0,0,4,4.7,398.69,1,1,Santé & Bien-être
83,Paris 18e,1,53,fr,0,0,annual_renewal,1,31,12,11,2,19,1,1,4,1,6,4.0,4017.74,9,9,Santé & Bien-être
61,Bordeaux,0,46,it,0,0,monthly_renewal,1,13,1,2,4,1,2,7,1,1,1,3.1,1061.11,3,1,Tourisme
94,Paris 13e,1,23,fr,0,0,monthly_standard,0,14,7,5,1,9,0,1,0,1,1,3.7,1638.37,3,3,Santé & Bien-être
75,Créteil,1,25,fr,0,0,annual_renewal,1,11,5,4,1,1,1,1,0,7,3,4.2,1140.65,1,1,Cours & Formation
80,Lyon,0,4,fr,0,1,annual_renewal,1,0,0,0,0,0,0,0,0,0,0,4.4,0.0,0,0,Santé & Bien-être
63,Bordeaux,0,17,fr,0,1,annual_standard,0,5,0,0,1,0,1,0,0,3,1,4.1,726.41,0,0,Cours & Formation
92,Paris 17e,1,37,fr,1,1,monthly_standard,0,15,7,4,1,2,1,1,0,1,1,4.9,1034.87,3,1,Services à domicile
68,Rouen,0,42,fr,0,2,monthly_renewal,1,9,2,2,1,0,1,6,1,0,3,4.4,1448.78,3,3,Tourisme
64,Paris 13e,1,15,fr,0,0,monthly_renewal,1,6,0,0,2,1,1,1,0,3,1,4.9,702.44,2,1,Cours & Formation
70,Paris 18e,1,33,fr,0,0,annual_standard,0,10,2,2,2,1,1,0,1,1,3,3.0,1485.65,2,2,Shopping
81,Paris 17e,1,1,fr,0,2,monthly_standard,0,0,0,0,0,0,0,0,0,0,0,4.2,0.0,1,1,Santé & Bien-être
67,Paris 11e,1,48,it,0,0,monthly_renewal,1,14,4,4,3,1,0,1,1,1,4,4.8,960.09,3,2,Services à domicile
70,Fontainebleau,0,4,es,0,0,annual_standard,0,2,0,0,0,0,0,0,0,1,0,4.5,176.69,0,0,Cours & Formation
64,Bordeaux,0,8,fr,0,1,annual_renewal,1,2,0,0,0,0,0,0,1,0,0,3.8,224.97,0,0,Emploi Seniors
65,Paris 18e,1,51,fr,0,0,annual_renewal,1,16,4,4,2,1,2,10,1,0,2,3.7,1568.66,4,3,Tourisme
91,Créteil,1,18,en,0,1,monthly_standard,0,6,3,1,0,1,1,0,0,0,3,4.9,940.26,2,0,Services à domicile
92,Montreuil,1,1,en,1,1,monthly_standard,0,2,0,0,0,1,0,0,1,0,0,4.1,155.07,1,1,Santé & Bien-être
68,Paris 18e,1,60,fr,0,0,annual_renewal,1,11,2,2,1,1,0,1,1,1,4,4.2,1711.34,3,3,Shopping
66,Paris 11e,1,42,fr,0,0,annual_renewal,1,9,1,2,1,1,1,1,3,1,0,3.4,544.74,2,2,Emploi Seniors
66,Fontainebleau,0,4,fr,0,1,monthly_standard,0,4,1,1,0,0,1,3,0,0,1,3.8,610.48,0,0,Tourisme
71,Lyon,0,53,es,0,2,annual_renewal,1,27,5,8,5,2,17,0,2,2,4,3.3,4138.84,9,1,Loisirs & Sorties
92,Paris 18e,1,27,es,0,0,monthly_renewal,1,12,4,4,1,2,1,0,1,6,1,3.2,1514.44,2,0,Cours & Formation
61,Paris 11e,1,24,fr,0,2,annual_standard,0,6,0,0,2,3,1,2,0,0,1,4.1,1077.05,2,1,Santé & Bien-être
69,Rouen,0,48,en,1,0,monthly_renewal,1,11,3,3,2,1,7,1,0,1,2,3.8,1506.15,2,2,Loisirs & Sorties
88,Paris 11e,1,44,it,1,1,monthly_standard,0,17,8,5,1,2,9,1,1,1,0,3.3,1246.69,3,3,Loisirs & Sorties
62,Paris 11e,1,6,fr,1,0,annual_standard,0,1,0,0,0,1,0,0,0,0,2,4.3,220.93,0,0,Santé & Bien-être
68,Rouen,0,55,fr,0,2,monthly_renewal,1,5,1,1,1,2,0,0,0,0,2,4.1,1208.76,0,0,Services à domicile
63,Paris 13e,1,44,en,1,2,monthly_standard,0,20,3,3,6,1,13,2,1,1,4,3.5,1671.94,4,1,Loisirs & Sorties
83,Paris 18e,1,14,fr,1,1,annual_standard,0,2,0,0,0,1,0,0,0,0,0,3.6,112.79,1,0,Services à domicile
69,Nice,0,45,fr,0,0,annual_standard,0,19,4,4,3,1,12,1,2,1,2,4.9,1598.02,5,0,Loisirs & Sorties
90,Créteil,1,27,en,0,1,monthly_standard,0,7,3,2,0,1,0,0,0,4,1,4.3,411.13,2,1,Cours & Formation
75,Marseille,0,60,fr,0,0,annual_renewal,1,17,7,5,1,1,1,1,1,11,5,4.3,2017.02,2,2,Cours & Formation
88,Montreuil,1,7,en,0,0,monthly_renewal,1,1,0,0,0,1,0,0,0,0,0,4.9,46.13,0,0,Santé & Bien-être
69,Créteil,1,28,fr,0,0,annual_renewal,1,4,0,1,0,0,3,0,1,0,0,3.5,541.91,0,0,Loisirs & Sorties
66,Fontainebleau,0,25,fr,0,0,annual_renewal,1,4,0,0,0,0,1,0,0,0,1,4.1,572.78,1,1,Shopping
69,Paris 11e,1,53,de,0,0,annual_renewal,1,15,3,3,2,1,1,1,1,0,3,4.7,770.24,3,3,Services à domicile
69,Paris 18e,1,6,fr,1,1,annual_standard,0,6,1,1,1,2,0,4,0,0,0,4.6,578.5,1,1,Tourisme
61,Paris 13e,1,9,fr,1,2,annual_standard,0,1,0,0,0,1,0,0,0,0,0,3.5,237.83,0,0,Santé & Bien-être
71,Rouen,0,48,fr,0,1,monthly_standard,0,27,7,7,4,2,2,2,2,17,10,3.3,4054.49,5,4,Cours & Formation
77,Paris 17e,1,54,fr,1,0,monthly_standard,0,11,4,3,1,7,1,1,0,0,2,4.0,711.45,3,3,Santé & Bien-être
65,Nice,0,7,en,0,0,annual_renewal,1,4,1,0,0,0,1,2,0,0,0,4.4,201.78,0,0,Tourisme
62,Nice,0,23,fr,1,0,monthly_standard,0,6,1,0,2,0,1,2,0,3,1,4.2,525.22,1,1,Cours & Formation
69,Créteil,1,5,fr,0,1,annual_standard,0,0,0,0,0,0,0,0,0,0,0,4.1,58.32,1,0,Loisirs & Sorties
85,Créteil,1,2,fr,1,1,annual_standard,0,2,0,0,0,0,0,0,0,1,0,3.7,227.77,1,1,Cours & Formation
68,Marseille,0,7,fr,0,0,annual_standard,0,2,0,0,0,1,1,0,0,0,0,4.6,163.62,0,0,Loisirs & Sorties
70,Nice,0,16,en,0,2,monthly_standard,0,4,0,0,0,0,0,0,0,1,1,4.8,587.05,0,0,Shopping
79,Nice,0,5,fr,0,1,annual_standard,0,0,0,0,0,0,0,0,0,0,0,4.1,48.67,1,0,Services à domicile
65,Creil,0,9,fr,0,0,annual_renewal,1,2,0,0,0,1,1,0,0,0,0,3.9,295.17,1,1,Loisirs & Sorties
72,Nice,0,44,de,0,1,annual_renewal,1,12,3,2,2,1,8,0,1,0,6,4.6,1430.07,4,0,Loisirs & Sorties
72,Nice,0,54,en,0,1,monthly_renewal,1,7,1,1,1,0,5,0,0,0,2,5.0,649.04,1,0,Loisirs & Sorties
68,Lyon,0,9,fr,0,0,annual_standard,0,6,1,1,1,0,0,0,0,6,1,4.2,436.72,1,1,Cours & Formation
64,Bordeaux,0,11,es,0,0,monthly_standard,0,2,0,0,0,0,0,0,0,0,1,4.1,376.15,1,0,Services à domicile
86,Paris 18e,1,42,fr,1,1,monthly_renewal,1,15,6,5,1,9,1,1,0,1,2,3.3,785.57,5,0,Santé & Bien-être
66,Paris 17e,1,47,fr,0,0,monthly_renewal,1,2,0,0,0,0,0,1,0,0,2,3.3,566.64,1,1,Tourisme
86,Paris 18e,1,49,fr,1,2,annual_standard,0,40,18,13,4,25,2,2,2,2,5,3.8,4465.99,7,6,Santé & Bien-être
69,Creil,0,8,fr,0,1,monthly_renewal,1,2,0,0,0,2,0,0,0,0,0,4.0,163.09,1,1,Santé & Bien-être
73,Paris 11e,1,44,en,0,0,annual_renewal,1,16,3,4,3,1,1,10,1,1,3,3.5,2037.69,3,2,Tourisme
78,Paris 13e,1,36,fr,0,1,annual_standard,0,20,10,7,1,13,1,1,2,1,4,4.2,2724.26,5,1,Santé & Bien-être
83,Paris 13e,1,28,fr,0,0,monthly_standard,0,15,6,6,1,1,1,1,1,1,1,4.4,700.69,5,4,Services à domicile
78,Marseille,0,53,es,0,1,annual_renewal,1,17,8,6,1,1,1,1,1,11,1,4.0,1654.05,3,3,Cours & Formation
61,Marseille,0,50,fr,1,0,monthly_standard,0,18,3,2,5,1,3,1,10,1,3,4.5,2475.89,5,4,Emploi Seniors
77,Paris 18e,1,44,it,1,0,monthly_standard,0,15,6,4,1,1,10,0,1,1,7,3.3,2886.71,2,2,Loisirs & Sorties
70,Fontainebleau,0,34,fr,1,0,annual_renewal,1,13,3,3,2,1,1,1,0,8,1,5.0,2101.97,3,1,Cours & Formation
65,Créteil,1,42,fr,0,0,monthly_renewal,1,11,2,2,2,1,2,0,1,0,1,3.9,688.95,2,2,Shopping
63,Fontainebleau,0,30,fr,0,1,monthly_standard,0,11,1,1,3,0,7,1,1,1,2,3.1,1011.25,2,2,Loisirs & Sorties
84,Paris 13e,1,26,fr,0,0,monthly_renewal,1,15,6,5,1,8,1,1,1,1,0,3.7,857.42,4,4,Santé & Bien-être
66,Paris 17e,1,18,en,0,0,monthly_standard,0,6,1,1,1,0,0,4,0,0,1,3.6,452.04,2,1,Tourisme
62,Marseille,0,5,es,0,1,monthly_standard,0,4,0,0,1,0,3,0,1,0,0,4.6,464.48,0,0,Loisirs & Sorties
70,Creil,0,17,es,0,0,annual_renewal,1,5,1,1,1,0,2,3,0,0,1,3.8,527.82,1,1,Tourisme
61,Paris 18e,1,20,fr,0,1,monthly_renewal,1,5,0,0,1,0,2,0,0,0,0,3.8,545.6,1,0,Services à domicile
64,Paris 18e,1,56,it,0,0,monthly_renewal,1,14,2,2,5,0,2,8,1,1,2,4.3,1538.7,2,0,Tourisme
61,Paris 13e,1,41,fr,0,0,monthly_standard,0,14,2,2,4,1,2,1,0,8,2,4.4,1707.55,4,1,Cours & Formation
83,Paris 13e,1,9,en,1,1,annual_standard,0,4,1,1,0,1,0,0,0,2,0,3.9,329.11,0,0,Cours & Formation
90,Paris 17e,1,42,fr,1,0,monthly_renewal,1,23,8,8,2,14,1,1,1,1,2,4.3,1167.56,6,1,Santé & Bien-être
67,Paris 17e,1,36,fr,1,0,monthly_renewal,1,12,3,3,2,1,0,0,8,1,0,3.4,861.3,3,2,Emploi Seniors
78,Paris 11e,1,43,fr,1,2,annual_renewal,1,16,8,4,1,1,1,1,1,1,1,3.6,1857.76,4,0,Services à domicile
84,Paris 17e,1,35,en,0,0,monthly_renewal,1,11,5,4,1,2,0,1,0,0,1,4.5,994.35,2,0,Services à domicile
68,Marseille,0,20,es,1,0,annual_renewal,1,4,1,1,0,0,4,0,0,0,0,3.2,447.42,0,0,Loisirs & Sorties
67,Paris 13e,1,23,fr,0,1,annual_renewal,1,9,2,2,1,1,0,0,1,6,2,4.5,1006.53,1,1,Cours & Formation
69,Lyon,0,27,it,0,0,annual_renewal,1,5,1,1,1,0,2,3,0,0,2,4.5,498.69,0,0,Tourisme
69,Paris 13e,1,43,fr,0,0,annual_standard,0,13,3,3,2,1,0,1,1,1,1,3.6,992.09,2,0,Services à domicile
